typ,symbol,nazwa
GRUPA,19.2,Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej oraz produktów z paliw kopalnych
KLASA,19.20,Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej oraz produktów z paliw kopalnych
PODKLASA,19.20.Z,Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej oraz produktów z paliw kopalnych
DZIAŁ,20,PRODUKCJA CHEMIKALIÓW I WYROBÓW CHEMICZNYCH
GRUPA,20.1,"Produkcja podstawowych chemikaliów, nawozów i związków azotowych, tworzyw sztucznych i kauczuku syntetycznego w formach podstawowych"
KLASA,20.11,Produkcja gazów technicznych
PODKLASA,20.11.Z,Produkcja gazów technicznych
KLASA,20.12,Produkcja barwników i pigmentów
PODKLASA,20.12.Z,Produkcja barwników i pigmentów
KLASA,20.13,Produkcja pozostałych podstawowych chemikaliów nieorganicznych
PODKLASA,20.13.Z,Produkcja pozostałych podstawowych chemikaliów nieorganicznych
KLASA,20.14,Produkcja pozostałych podstawowych chemikaliów organicznych
PODKLASA,20.14.Z,Produkcja pozostałych podstawowych chemikaliów organicznych
KLASA,20.15,Produkcja nawozów i związków azotowych
PODKLASA,20.15.Z,Produkcja nawozów i związków azotowych
KLASA,20.16,Produkcja tworzyw sztucznych w formach podstawowych
PODKLASA,20.16.Z,Produkcja tworzyw sztucznych w formach podstawowych
KLASA,20.17,Produkcja kauczuku syntetycznego w formach podstawowych
PODKLASA,20.17.Z,Produkcja kauczuku syntetycznego w formach podstawowych
GRUPA,20.2,"Produkcja pestycydów, środków dezynfekujących i pozostałych środków agrochemicznych"
KLASA,20.20,"Produkcja pestycydów, środków dezynfekujących i pozostałych środków agrochemicznych"
PODKLASA,20.20.A,Produkcja pestycydów
PODKLASA,20.20.B,Produkcja środków dezynfekujących
PODKLASA,20.20.C,Produkcja pozostałych środków agrochemicznych
GRUPA,20.3,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających"
KLASA,20.30,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających"
PODKLASA,20.30.Z,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających"
GRUPA,20.4,"Produkcja środków piorących, myjących i czyszczących"
KLASA,20.41,"Produkcja mydła i detergentów, środków myjących i czyszczących"
PODKLASA,20.41.Z,"Produkcja mydła i detergentów, środków myjących i czyszczących"
KLASA,20.42,Produkcja wyrobów kosmetycznych i toaletowych
PODKLASA,20.42.Z,Produkcja wyrobów kosmetycznych i toaletowych
GRUPA,20.5,Produkcja pozostałych wyrobów chemicznych
KLASA,20.51,Produkcja biopaliw płynnych
PODKLASA,20.51.Z,Produkcja biopaliw płynnych
KLASA,20.59,"Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana"
PODKLASA,20.59.Z,"Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana"
GRUPA,20.6,Produkcja włókien chemicznych
KLASA,20.60,Produkcja włókien chemicznych
PODKLASA,20.60.Z,Produkcja włókien chemicznych
DZIAŁ,21,PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH
GRUPA,21.1,Produkcja podstawowych substancji farmaceutycznych
KLASA,21.10,Produkcja podstawowych substancji farmaceutycznych
PODKLASA,21.10.Z,Produkcja podstawowych substancji farmaceutycznych
GRUPA,21.2,Produkcja leków i pozostałych wyrobów farmaceutycznych
KLASA,21.20,Produkcja leków i pozostałych wyrobów farmaceutycznych
PODKLASA,21.20.Z,Produkcja leków i pozostałych wyrobów farmaceutycznych
